full_ticker,ticker,name,name_short,name_eng,listed_data,market,security_category,related_department,preferred,face_value,shares_available,corp_code,corp_code2,industry_code
KR7010470003,010470,오리콤,오리콤,ORICOM Inc.,2000/10/24,KOSDAQ,주권,우량기업부,보통주,1000,11975050,00141671,00141671,71310
KR7352910004,352910,오비고,오비고,Obigo Inc.,2021/07/13,KOSDAQ,주권,기술성장기업부,보통주,500,11308754,00494546,00494546,620
KR7053980009,053980,오상자이엘,오상자이엘,"OSANGJAIEL Co., Ltd",2002/04/09,KOSDAQ,주권,중견기업부,보통주,500,17747882,00226547,00226547,62021
KR7052420007,052420,오성첨단소재,오성첨단소재,"OSUNG ADVANCED MATERIALS CO., LTD.",2001/08/07,KOSDAQ,주권,우량기업부,보통주,500,67887670,00350048,00350048,222
KR7241790005,241790,오션브릿지,오션브릿지,"OCEANBRIDGE CO., LTD",2016/12/01,KOSDAQ,주권,우량기업부,보통주,500,10002634,01113754,01113754,292
KR7329020002,329020,오션스톤,오션스톤,Ocean Stone,2020/05/07,KONEX,주권,일반기업부,보통주,500,800000,01388631,01388631,463
KR7039200001,039200,오스코텍,오스코텍,OSCOTEC Inc.,2007/01/17,KOSDAQ,주권,벤처기업부,보통주,500,30206525,00263654,00263654,21210
KR7031510001,031510,오스템,오스템,"AUSTEM CO.,LTD",1997/02/12,KOSDAQ,주권,중견기업부,보통주,500,28000000,00175173,00175173,303
KR7048260004,048260,오스템임플란트,오스템임플란트,"OSSTEM IMPLANT.CO.,Ltd",2007/02/07,KOSDAQ,주권,우량기업부,보통주,500,14285717,00341916,00341916,27191
KR7138080007,138080,오이솔루션,오이솔루션,"OE Solutions Co., Ltd.",2014/02/27,KOSDAQ,주권,우량기업부,보통주,500,10624095,00571483,00571483,26410
KR7080580004,080580,오킨스전자,오킨스전자,"OKins Electronics Co.,Ltd.",2014/12/24,KOSDAQ,주권,벤처기업부,보통주,500,17679298,00543107,00543107,262
KR7067170001,067170,오텍,오텍,Autech Corporation,2003/11/14,KOSDAQ,주권,우량기업부,보통주,500,15391605,00397289,00397289,304
KR7173130006,173130,오파스넷,오파스넷,"OPASNET co., Ltd",2018/08/24,KOSDAQ,주권,중견기업부,보통주,500,11860430,00867849,00867849,62021
KR7049480007,049480,오픈베이스,오픈베이스,"Openbase, Inc.",2001/01/09,KOSDAQ,주권,중견기업부,보통주,500,31422383,00335076,00335076,62021
KR7309930006,309930,오하임아이엔티,오하임아이엔티,"OHEIM INT Co.,Ltd.",2018/12/20,KOSDAQ,주권,중견기업부,보통주,100,20507691,01335453,01335453,475
KR7078590007,078590,온코퀘스트파마슈티컬,OQP,OncoQuest Pharmaceuticals Inc.,2005/10/27,KOSDAQ,주권,관리종목(소속부없음),보통주,200,83006958,00230814,00230814,303
